"148098 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1108,32 0 1108,32 175 710000 0 0 1 ""8491"" 0 0 0 0 0 no "
"148122 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 841,61 0 512,96 175 760000 0 0 0 ""1511"" 0 0 0 0 0 no "
"148528 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1159,98 0 696,68 175 710000 0 0 5 ""1510"" 0 0 0 0 0 no "
"148551 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 228,34 0 124,95 175 760000 0 0 0 ""2110"" 0 0 0 0 0 no "
"148742 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 468,89 0 157,27 175 760000 0 0 0 ""661?"" 0 0 0 0 0 no "
"148916 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 870,64 0 381,95 175 760000 0 0 6 ""1512"" 0 0 0 0 0 no "
"149039 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 797,28 0 309,5 175 760000 0 0 3 ""1511"" 0 0 0 0 0 no "
"149138 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 580,61 0 208,67 175 760000 0 0 0 ""Ausl"" 0 0 0 0 0 no "
"149146 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 527,38 0 231,31 175 760000 0 0 5 ""0471"" 0 0 0 0 0 no "
"149211 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1083,27 0 416,3 175 760000 0 0 4 ""0471"" 0 0 0 0 0 no "
"149369 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 501,76 0 205,62 175 760000 0 0 0 ""0471"" 0 0 0 0 0 no "
"149542 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1625,79 0 1625,79 175 710000 0 0 0 ""1511"" 0 0 0 0 0 no "
"149815 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 707,2 0 707,2 175 770000 0 0 0 ""8491"" 0 0 0 0 0 no "
"150961 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 558,58 ,53 344,68 175 770000 0 0 5 ""3121"" 0 0 0 0 0 no "
"151472 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 646,91 0 251,2 175 760000 0 0 3 ""9031"" 0 0 0 0 0 no "
"151639 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 432,48 0 160,32 175 760000 0 0 3 ""312?"" 0 0 0 0 0 no "
"151738 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 493,7 0 219,15 175 760000 0 0 4 ""3121"" 0 0 0 0 0 no "
"152496 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 190,95 0 67,09 175 770000 0 0 5 ""3120"" 0 0 0 0 0 no "
"156810 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 603,99 0 603,99 175 760000 0 0 0 ""3051"" 0 0 0 0 0 no "
"157362 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 552,52 0 145,53 175 760000 0 0 0 ""PKV"" 0 0 0 0 0 no "
"157602 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 160,75 0 196 177 750000 0 0 6 ""1512"" 0 0 0 0 0 no "
"157859 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 481,42 0 481,42 177 770000 0 0 0 ""4161"" 0 0 0 0 0 no "
"158352 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 349,75 0 349,75 177 770000 0 0 6 ""151?"" 0 0 0 0 0 no "
"159996 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 203,26 0 203,26 177 760000 0 0 ? ""3121"" 0 0 0 0 0 no "
"168989 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 1633,49 0 1633,49 177 760000 0 0 3 ""0471"" 0 0 0 0 0 no "
"169144 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 4719,47 0 4719,47 175 710000 0 0 3 ""PKV"" 0 0 0 0 0 no "
"173468 01/10/2025 07/10/2025 0 0 0 0 """" 0 """" 4683,79 0 2909,57 175 710000 0 0 3 ""8495"" 0 0 0 0 0 no "
